firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Kellogg's,K,"? 48,00,00,000.00","? 36,80,00,000.00","? 60,70,00,000.00","? 1,16,70,00,000.00","? 56,00,00,000.00","? 56,00,00,000.00","? 5,90,00,000.00","? 10,90,00,000.00","? 3,58,40,00,000.00","? 3,02,40,00,000.00","? 2,41,70,00,000.00","? 37,10,00,000.00",31.53%,47.99%,52.01%,23.33%
Kellogg's,K,"? 26,30,00,000.00","? 20,50,00,000.00","? 74,90,00,000.00","? 1,18,80,00,000.00","? 43,90,00,000.00","? 43,90,00,000.00","? 8,50,00,000.00","? 5,50,00,000.00","? 3,46,40,00,000.00","? 3,02,50,00,000.00","? 2,27,60,00,000.00","? 20,80,00,000.00",17.26%,36.95%,63.05%,22.05%
Kellogg's,K,"? 41,70,00,000.00","? 34,80,00,000.00","? 79,00,00,000.00","? 1,20,10,00,000.00","? 41,10,00,000.00","? 41,10,00,000.00","? 6,30,00,000.00","? 6,50,00,000.00","? 3,42,90,00,000.00","? 3,01,80,00,000.00","? 2,22,80,00,000.00","? 35,20,00,000.00",28.98%,34.22%,65.78%,16.55%
Kellogg's,K,"? 46,30,00,000.00","? 35,10,00,000.00","? 66,90,00,000.00","? 1,20,70,00,000.00","? 53,80,00,000.00","? 53,80,00,000.00","? 6,90,00,000.00","? 10,90,00,000.00","? 3,46,50,00,000.00","? 2,92,70,00,000.00","? 2,25,80,00,000.00","? 35,40,00,000.00",29.08%,44.57%,55.43%,24.19%
KeyCorp,KEY,"? 91,30,00,000.00","? 72,90,00,000.00","? 90,70,00,000.00","? 1,98,90,00,000.00",? 0.00,"? 92,70,00,000.00",,"? 18,90,00,000.00","? 1,98,90,00,000.00","? 1,06,20,00,000.00",? 0.00,"? 72,40,00,000.00",36.65%,0.00%,45.60%,20.15%
KeyCorp,KEY,"? 76,50,00,000.00","? 62,20,00,000.00","? 90,80,00,000.00","? 1,83,60,00,000.00",? 0.00,"? 78,00,00,000.00",,"? 14,70,00,000.00","? 1,83,60,00,000.00","? 1,05,60,00,000.00",? 0.00,"? 61,80,00,000.00",33.88%,0.00%,49.46%,18.69%
KeyCorp,KEY,"? 68,90,00,000.00","? 58,20,00,000.00","? 91,30,00,000.00","? 1,81,70,00,000.00",? 0.00,"? 74,30,00,000.00",,"? 11,40,00,000.00","? 1,81,70,00,000.00","? 1,07,40,00,000.00",? 0.00,"? 57,50,00,000.00",32.03%,0.00%,50.25%,15.53%
KeyCorp,KEY,"? 48,40,00,000.00","? 42,80,00,000.00","? 85,20,00,000.00","? 1,52,10,00,000.00",? 0.00,"? 50,40,00,000.00",,"? 6,00,00,000.00","? 1,52,10,00,000.00","? 1,01,70,00,000.00",? 0.00,"? 42,40,00,000.00",28.14%,0.00%,56.02%,11.57%
Keysight Technologies,KEYS,"? 20,80,00,000.00","? 18,60,00,000.00","? 30,80,00,000.00","? 73,70,00,000.00","? 22,40,00,000.00","? 22,40,00,000.00","? 1,90,00,000.00","? 2,20,00,000.00","? 1,22,10,00,000.00","? 99,70,00,000.00","? 48,40,00,000.00","? 18,60,00,000.00",25.24%,30.39%,41.79%,10.58%
Keysight Technologies,KEYS,"? 19,50,00,000.00","? 17,20,00,000.00","? 29,40,00,000.00","? 70,70,00,000.00","? 21,90,00,000.00","? 21,90,00,000.00","? 2,00,00,000.00","? 2,30,00,000.00","? 1,18,00,00,000.00","? 96,10,00,000.00","? 47,30,00,000.00","? 17,20,00,000.00",24.33%,30.98%,41.58%,11.79%
Keysight Technologies,KEYS,"? 26,60,00,000.00","? 21,70,00,000.00","? 28,70,00,000.00","? 75,60,00,000.00","? 27,80,00,000.00","? 27,80,00,000.00","? 1,90,00,000.00","? 4,90,00,000.00","? 1,22,00,00,000.00","? 94,20,00,000.00","? 46,40,00,000.00","? 21,70,00,000.00",28.70%,36.77%,37.96%,18.42%
Keysight Technologies,KEYS,"? 18,50,00,000.00","? 17,60,00,000.00","? 24,10,00,000.00","? 60,60,00,000.00","? 20,00,00,000.00","? 20,00,00,000.00","? 2,00,00,000.00","? 90,00,000.00","? 1,01,10,00,000.00","? 81,10,00,000.00","? 40,50,00,000.00","? 17,60,00,000.00",29.04%,33.00%,39.77%,4.86%
Kimberly-Clark,KMB,"? 74,10,00,000.00","? 58,40,00,000.00","? 80,60,00,000.00","? 1,61,40,00,000.00","? 81,30,00,000.00","? 81,30,00,000.00","? 6,30,00,000.00","? 14,70,00,000.00","? 4,74,30,00,000.00","? 3,93,00,00,000.00","? 3,12,90,00,000.00","? 59,40,00,000.00",36.18%,50.37%,49.94%,21.19%
Kimberly-Clark,KMB,"? 71,20,00,000.00","? 53,90,00,000.00","? 96,00,00,000.00","? 1,71,00,00,000.00","? 81,50,00,000.00","? 81,50,00,000.00","? 6,40,00,000.00","? 16,60,00,000.00","? 4,83,60,00,000.00","? 4,02,10,00,000.00","? 3,12,60,00,000.00","? 54,60,00,000.00",31.52%,47.66%,56.14%,24.30%
Kimberly-Clark,KMB,"? 59,70,00,000.00","? 47,20,00,000.00","? 88,50,00,000.00","? 1,69,70,00,000.00","? 78,30,00,000.00","? 78,30,00,000.00","? 6,20,00,000.00","? 11,40,00,000.00","? 4,68,30,00,000.00","? 3,90,00,00,000.00","? 2,98,60,00,000.00","? 48,30,00,000.00",27.81%,46.14%,52.15%,20.94%
Kimberly-Clark,KMB,"? 89,10,00,000.00","? 68,10,00,000.00","? 81,70,00,000.00","? 1,83,70,00,000.00","? 1,00,00,00,000.00","? 1,00,00,00,000.00","? 6,50,00,000.00","? 19,90,00,000.00","? 4,61,20,00,000.00","? 3,61,20,00,000.00","? 2,77,50,00,000.00","? 69,20,00,000.00",37.07%,54.44%,44.47%,23.57%
Kimco Realty,KIM,"? 11,83,93,000.00","? 11,66,97,000.00","? 2,47,54,000.00","? 19,95,32,000.00","? 10,22,05,000.00","? 10,22,05,000.00","? 4,68,12,000.00","? 12,75,000.00","? 28,90,16,000.00","? 18,68,11,000.00","? 8,94,84,000.00","? 11,71,18,000.00",58.49%,51.22%,12.41%,1.43%
Kimco Realty,KIM,"? 14,27,33,000.00","? 13,79,42,000.00","? 2,44,78,000.00","? 19,38,17,000.00","? 9,44,63,000.00","? 9,44,63,000.00","? 4,77,16,000.00","? 13,08,000.00","? 28,23,08,000.00","? 18,78,45,000.00","? 8,84,91,000.00","? 14,14,25,000.00",71.17%,48.74%,12.63%,3.36%
Kimco Realty,KIM,"? 20,22,95,000.00","? 20,12,34,000.00","? 1,22,01,000.00","? 17,78,26,000.00","? 9,13,30,000.00","? 9,13,30,000.00","? 4,58,87,000.00","? 4,96,000.00","? 26,94,41,000.00","? 17,81,11,000.00","? 9,16,15,000.00","? 20,17,99,000.00",113.16%,51.36%,6.86%,0.52%
Kimco Realty,KIM,"? 3,70,41,000.00","? 3,83,94,000.00","? 2,87,95,000.00","? 17,37,78,000.00","? 7,32,79,000.00","? 7,32,79,000.00","? 4,69,42,000.00","? 3,88,000.00","? 25,97,92,000.00","? 18,65,13,000.00","? 8,60,14,000.00","? 3,74,29,000.00",-22.09%,42.17%,16.57%,-3.65%
Kinder Morgan,KMI,"? 1,77,60,00,000.00","? 1,40,90,00,000.00","? 15,60,00,000.00","? 2,68,80,00,000.00","? 1,88,20,00,000.00","? 1,88,20,00,000.00","? 37,70,00,000.00","? 35,10,00,000.00","? 5,21,10,00,000.00","? 3,32,90,00,000.00","? 2,52,30,00,000.00","? 1,42,50,00,000.00",52.42%,70.01%,5.80%,20.66%
Kinder Morgan,KMI,"? 80,00,00,000.00","? 60,70,00,000.00","? 18,70,00,000.00","? 1,72,30,00,000.00","? 92,50,00,000.00","? 92,50,00,000.00","? 38,10,00,000.00","? 17,70,00,000.00","? 3,11,50,00,000.00","? 2,19,00,00,000.00","? 1,39,20,00,000.00","? 62,30,00,000.00",35.23%,53.69%,10.85%,24.13%
Kinder Morgan,KMI,"? 61,20,00,000.00","? 45,50,00,000.00","? 15,30,00,000.00","? 1,62,10,00,000.00","? 83,00,00,000.00","? 83,00,00,000.00","? 38,30,00,000.00","? 14,00,00,000.00","? 2,91,90,00,000.00","? 2,08,90,00,000.00","? 1,29,80,00,000.00","? 47,20,00,000.00",28.07%,51.20%,9.44%,25.65%
Kinder Morgan,KMI,"? 52,00,00,000.00","? 63,70,00,000.00","? 15,50,00,000.00","? 1,51,30,00,000.00","? 72,30,00,000.00","? 72,30,00,000.00","? 39,50,00,000.00","? 10,40,00,000.00","? 2,56,00,00,000.00","? 1,83,70,00,000.00","? 1,04,70,00,000.00","? 62,40,00,000.00",-42.10%,47.79%,10.24%,-22.50%
KLA Corporation,KLAC,"? 70,88,43,000.00","? 63,29,78,000.00","? 19,38,61,000.00","? 1,15,32,30,000.00","? 71,79,41,000.00","? 71,79,41,000.00","? 3,99,70,000.00","? 7,57,85,000.00","? 1,92,54,71,000.00","? 1,20,75,30,000.00","? 77,22,41,000.00","? 63,30,58,000.00",54.89%,62.25%,16.81%,10.70%
KLA Corporation,KLAC,"? 64,04,03,000.00","? 56,74,96,000.00","? 18,30,40,000.00","? 1,09,41,44,000.00","? 67,21,47,000.00","? 67,21,47,000.00","? 3,90,92,000.00","? 7,32,33,000.00","? 1,80,37,73,000.00","? 1,13,16,26,000.00","? 70,96,29,000.00","? 56,71,70,000.00",51.87%,61.43%,16.73%,11.38%
KLA Corporation,KLAC,"? 52,74,02,000.00","? 45,72,51,000.00","? 18,19,09,000.00","? 98,11,37,000.00","? 57,01,64,000.00","? 57,01,64,000.00","? 3,88,80,000.00","? 7,04,19,000.00","? 1,65,08,70,000.00","? 1,08,07,06,000.00","? 66,97,33,000.00","? 45,69,83,000.00",46.60%,58.11%,18.54%,13.30%
KLA Corporation,KLAC,"? 48,38,06,000.00","? 42,05,67,000.00","? 17,26,31,000.00","? 91,80,58,000.00","? 52,63,89,000.00","? 52,63,89,000.00","? 3,93,86,000.00","? 6,36,64,000.00","? 1,53,86,20,000.00","? 1,01,22,31,000.00","? 62,05,62,000.00","? 42,01,42,000.00",45.81%,57.34%,18.80%,13.07%
Kraft Heinz,KHC,"? 64,50,00,000.00","? 2,70,00,000.00","? 86,60,00,000.00","? 2,29,20,00,000.00","? 1,42,60,00,000.00","? 1,42,60,00,000.00","? 61,30,00,000.00","? 67,00,00,000.00","? 6,61,50,00,000.00","? 5,18,90,00,000.00","? 4,32,30,00,000.00","? 2,50,00,000.00",-1.18%,62.22%,37.78%,104.19%
Kraft Heinz,KHC,"? 70,40,00,000.00","? 56,30,00,000.00","? 81,50,00,000.00","? 2,20,40,00,000.00","? 1,38,90,00,000.00","? 1,38,90,00,000.00","? 41,50,00,000.00","? 13,60,00,000.00","? 6,39,40,00,000.00","? 5,00,50,00,000.00","? 4,19,00,00,000.00","? 56,80,00,000.00",25.54%,63.02%,36.98%,20.03%
Kraft Heinz,KHC,"? 1,28,60,00,000.00","? 1,03,20,00,000.00","? 62,20,00,000.00","? 2,52,10,00,000.00","? 1,78,00,00,000.00","? 1,78,00,00,000.00","? 32,80,00,000.00","? 25,20,00,000.00","? 6,93,90,00,000.00","? 5,15,90,00,000.00","? 4,41,80,00,000.00","? 1,03,40,00,000.00",40.94%,70.61%,24.67%,19.75%
Kraft Heinz,KHC,"? 90,60,00,000.00","? 59,70,00,000.00","? 83,90,00,000.00","? 2,34,10,00,000.00","? 1,50,20,00,000.00","? 1,50,20,00,000.00","? 31,40,00,000.00","? 30,80,00,000.00","? 6,44,10,00,000.00","? 4,93,90,00,000.00","? 4,10,00,00,000.00","? 59,80,00,000.00",25.50%,64.16%,35.84%,34.11%
Kroger,KR,"? 17,90,00,000.00","? 14,00,00,000.00","? 7,58,00,00,000.00","? 9,35,10,00,000.00","? 91,00,00,000.00","? 91,00,00,000.00","? 16,50,00,000.00","? 3,60,00,000.00","? 41,29,80,00,000.00","? 40,38,80,00,000.00","? 31,94,70,00,000.00","? 14,30,00,000.00",1.50%,9.73%,81.06%,21.79%
Kroger,KR,"? 11,00,00,000.00","? 7,70,00,000.00","? 7,25,60,00,000.00","? 7,93,40,00,000.00","? 40,00,000.00","? 40,00,000.00","? 10,60,00,000.00","? 3,40,00,000.00","? 30,73,70,00,000.00","? 30,73,30,00,000.00","? 22,80,30,00,000.00","? 7,60,00,000.00",-0.97%,0.05%,91.45%,30.00%
Kroger,KR,"? 83,40,00,000.00","? 63,10,00,000.00","? 5,33,30,00,000.00","? 6,82,20,00,000.00","? 85,80,00,000.00","? 85,80,00,000.00","? 12,90,00,000.00","? 20,20,00,000.00","? 29,72,30,00,000.00","? 28,86,50,00,000.00","? 22,90,10,00,000.00","? 63,20,00,000.00",9.25%,12.58%,78.17%,24.34%
Kroger,KR,"? 1,06,10,00,000.00","? 81,90,00,000.00","? 5,43,90,00,000.00","? 6,93,80,00,000.00","? 88,20,00,000.00","? 88,20,00,000.00","? 13,50,00,000.00","? 24,10,00,000.00","? 30,48,90,00,000.00","? 29,60,70,00,000.00","? 23,55,10,00,000.00","? 82,00,00,000.00",11.80%,12.71%,78.39%,22.81%
L3Harris Technologies,LHX,"? 58,20,00,000.00","? 41,30,00,000.00","? 75,70,00,000.00","? 1,41,70,00,000.00","? 66,00,00,000.00","? 66,00,00,000.00","? 6,50,00,000.00","? 16,90,00,000.00","? 4,66,80,00,000.00","? 4,00,80,00,000.00","? 3,25,10,00,000.00","? 41,30,00,000.00",29.15%,46.58%,53.42%,29.04%
L3Harris Technologies,LHX,"? 52,70,00,000.00","? 46,80,00,000.00","? 66,90,00,000.00","? 1,35,40,00,000.00","? 68,50,00,000.00","? 68,50,00,000.00","? 6,90,00,000.00","? 6,00,00,000.00","? 4,56,70,00,000.00","? 3,88,20,00,000.00","? 3,21,30,00,000.00","? 46,70,00,000.00",34.56%,50.59%,49.41%,11.20%
L3Harris Technologies,LHX,"? 24,70,00,000.00","? 19,30,00,000.00","? 71,30,00,000.00","? 1,39,90,00,000.00","? 68,60,00,000.00","? 68,60,00,000.00","? 6,80,00,000.00","? 6,30,00,000.00","? 4,66,00,00,000.00","? 3,97,40,00,000.00","? 3,26,10,00,000.00","? 18,40,00,000.00",13.80%,49.04%,50.96%,21.86%
L3Harris Technologies,LHX,"? 51,80,00,000.00","? 42,60,00,000.00","? 69,10,00,000.00","? 1,31,10,00,000.00","? 62,00,00,000.00","? 62,00,00,000.00","? 6,60,00,000.00","? 8,70,00,000.00","? 4,46,30,00,000.00","? 3,84,30,00,000.00","? 3,15,20,00,000.00","? 43,10,00,000.00",32.49%,47.29%,52.71%,17.76%
LabCorp,LH,"? 1,02,18,00,000.00","? 76,96,00,000.00","? 41,83,00,000.00","? 1,59,90,00,000.00","? 1,11,78,00,000.00","? 1,11,78,00,000.00","? 4,85,00,000.00","? 25,17,00,000.00","? 4,16,15,00,000.00","? 3,04,37,00,000.00","? 2,56,25,00,000.00","? 77,01,00,000.00",48.13%,69.91%,26.16%,24.68%
LabCorp,LH,"? 1,24,27,00,000.00","? 93,83,00,000.00","? 49,55,00,000.00","? 1,96,14,00,000.00","? 1,40,26,00,000.00","? 1,40,26,00,000.00","? 4,83,00,000.00","? 30,41,00,000.00","? 4,48,98,00,000.00","? 3,08,72,00,000.00","? 2,52,84,00,000.00","? 93,86,00,000.00",47.84%,71.51%,25.26%,24.50%
LabCorp,LH,"? 94,71,00,000.00","? 70,34,00,000.00","? 41,32,00,000.00","? 1,55,94,00,000.00","? 1,08,40,00,000.00","? 1,08,40,00,000.00","? 5,14,00,000.00","? 24,34,00,000.00","? 3,89,61,00,000.00","? 2,81,21,00,000.00","? 2,33,67,00,000.00","? 70,37,00,000.00",45.11%,69.51%,26.50%,25.73%
LabCorp,LH,"? 29,70,00,000.00","? 23,16,00,000.00","? 38,37,00,000.00","? 76,05,00,000.00","? 31,67,00,000.00","? 31,67,00,000.00","? 5,27,00,000.00","? 6,54,00,000.00","? 2,76,88,00,000.00","? 2,45,21,00,000.00","? 2,00,83,00,000.00","? 23,16,00,000.00",30.45%,41.64%,50.45%,22.02%
Lam Research,LRCX,"? 1,30,87,61,000.00","? 1,14,46,57,000.00","? 21,75,25,000.00","? 1,91,52,01,000.00","? 1,31,59,27,000.00","? 1,31,59,27,000.00","? 5,16,95,000.00","? 16,41,04,000.00","? 4,14,51,79,000.00","? 2,82,92,52,000.00","? 2,22,99,78,000.00","? 1,14,46,57,000.00",59.77%,68.71%,11.36%,12.54%
Lam Research,LRCX,"? 1,15,99,88,000.00","? 1,07,11,21,000.00","? 20,37,03,000.00","? 1,78,01,31,000.00","? 1,19,53,08,000.00","? 1,19,53,08,000.00","? 5,22,36,000.00","? 8,88,67,000.00","? 3,84,76,54,000.00","? 2,65,23,46,000.00","? 2,06,75,23,000.00","? 1,07,11,21,000.00",60.17%,67.15%,11.44%,7.66%
Lam Research,LRCX,"? 97,97,83,000.00","? 86,92,29,000.00","? 21,88,99,000.00","? 1,60,37,95,000.00","? 1,00,97,24,000.00","? 1,00,97,24,000.00","? 5,25,51,000.00","? 11,05,54,000.00","? 3,45,62,37,000.00","? 2,44,65,13,000.00","? 1,85,24,42,000.00","? 86,92,29,000.00",54.20%,62.96%,13.65%,11.28%
Lam Research,LRCX,"? 92,22,72,000.00","? 82,34,51,000.00","? 18,97,48,000.00","? 1,50,61,79,000.00","? 96,10,64,000.00","? 96,10,64,000.00","? 5,21,15,000.00","? 9,88,21,000.00","? 3,17,70,80,000.00","? 2,21,60,16,000.00","? 1,67,09,01,000.00","? 82,34,51,000.00",54.67%,63.81%,12.60%,10.71%
Lamb Weston,LW,"? 7,98,00,000.00","? 6,55,00,000.00","? 8,55,00,000.00","? 19,80,00,000.00","? 9,96,00,000.00","? 9,96,00,000.00","? 2,87,00,000.00","? 1,43,00,000.00","? 1,00,75,00,000.00","? 90,79,00,000.00","? 80,95,00,000.00","? 6,55,00,000.00",33.08%,50.30%,43.18%,17.92%
Lamb Weston,LW,"? 8,24,00,000.00","? 6,61,00,000.00","? 9,51,00,000.00","? 19,67,00,000.00","? 10,16,00,000.00","? 10,16,00,000.00","? 2,93,00,000.00","? 1,63,00,000.00","? 89,58,00,000.00","? 79,42,00,000.00","? 69,91,00,000.00","? 6,61,00,000.00",33.60%,51.65%,48.35%,19.78%
Lamb Weston,LW,"? 12,88,00,000.00","? 9,69,00,000.00","? 7,89,00,000.00","? 22,35,00,000.00","? 14,46,00,000.00","? 14,46,00,000.00","? 3,00,00,000.00","? 3,19,00,000.00","? 89,61,00,000.00","? 75,15,00,000.00","? 67,26,00,000.00","? 9,69,00,000.00",43.36%,64.70%,35.30%,24.77%
Lamb Weston,LW,"? 11,73,00,000.00","? 8,93,00,000.00","? 7,41,00,000.00","? 22,98,00,000.00","? 15,57,00,000.00","? 15,57,00,000.00","? 3,03,00,000.00","? 2,80,00,000.00","? 87,15,00,000.00","? 71,58,00,000.00","? 64,17,00,000.00","? 8,93,00,000.00",38.86%,67.75%,32.25%,23.87%
Las Vegas Sands,LVS,"? 26,60,00,000.00","? 27,80,00,000.00","? 29,70,00,000.00","? 46,80,00,000.00","? 9,30,00,000.00","? 9,30,00,000.00","? 15,40,00,000.00","? 1,40,00,000.00","? 1,19,60,00,000.00","? 1,28,90,00,000.00","? 72,80,00,000.00","? 28,00,00,000.00",-59.40%,-19.87%,63.46%,-4.51%
Las Vegas Sands,LVS,"? 36,80,00,000.00","? 29,90,00,000.00","? 28,60,00,000.00","? 1,25,80,00,000.00","? 19,90,00,000.00","? 19,90,00,000.00","? 15,00,00,000.00","? 80,00,000.00","? 1,14,60,00,000.00","? 1,34,50,00,000.00","? 11,20,00,000.00","? 37,60,00,000.00",-23.77%,-15.82%,22.73%,18.75%
Las Vegas Sands,LVS,"? 74,80,00,000.00","? 56,50,00,000.00","? 31,30,00,000.00","? 8,30,00,000.00","? 55,20,00,000.00","? 55,20,00,000.00","? 13,70,00,000.00","? 1,70,00,000.00","? 58,60,00,000.00","? 1,13,80,00,000.00","? 50,30,00,000.00","? 73,10,00,000.00",-680.72%,-665.06%,377.11%,24.47%
Las Vegas Sands,LVS,"? 1,03,90,00,000.00","? 82,00,00,000.00","? 33,70,00,000.00","? 27,40,00,000.00","? 91,70,00,000.00","? 91,70,00,000.00","? 11,80,00,000.00","? 5,40,00,000.00","? 9,80,00,000.00","? 1,01,50,00,000.00","? 37,20,00,000.00","? 98,50,00,000.00",299.27%,334.67%,-122.99%,21.08%
Leggett & Platt,LEG,"? 10,93,00,000.00","? 8,75,00,000.00","? 10,60,00,000.00","? 24,75,00,000.00","? 12,57,00,000.00","? 12,57,00,000.00","? 1,93,00,000.00","? 2,18,00,000.00","? 1,15,09,00,000.00","? 1,02,52,00,000.00","? 90,34,00,000.00","? 8,75,00,000.00",35.35%,50.79%,42.83%,19.95%
Leggett & Platt,LEG,"? 13,09,00,000.00","? 10,32,00,000.00","? 10,32,00,000.00","? 25,81,00,000.00","? 13,86,00,000.00","? 13,86,00,000.00","? 1,95,00,000.00","? 2,77,00,000.00","? 1,18,20,00,000.00","? 1,04,34,00,000.00","? 92,39,00,000.00","? 10,32,00,000.00",39.98%,53.70%,39.98%,21.16%
Leggett & Platt,LEG,"? 12,69,00,000.00","? 10,48,00,000.00","? 10,53,00,000.00","? 26,74,00,000.00","? 14,59,00,000.00","? 14,59,00,000.00","? 2,09,00,000.00","? 2,20,00,000.00","? 1,20,76,00,000.00","? 1,06,17,00,000.00","? 94,02,00,000.00","? 10,49,00,000.00",39.19%,54.56%,39.38%,17.42%
Leggett & Platt,LEG,"? 24,00,000.00","? 61,00,000.00","? 9,71,00,000.00","? 14,63,00,000.00","? 3,29,00,000.00","? 3,29,00,000.00","? 2,14,00,000.00","? 85,00,000.00","? 84,51,00,000.00","? 81,22,00,000.00","? 69,88,00,000.00","? 61,00,000.00",-4.17%,22.49%,66.37%,354.17%
Leidos,LDOS,"? 22,30,00,000.00","? 16,90,00,000.00","? 22,40,00,000.00","? 49,80,00,000.00","? 27,50,00,000.00","? 27,50,00,000.00","? 4,60,00,000.00","? 5,30,00,000.00","? 3,44,80,00,000.00","? 3,17,30,00,000.00","? 2,95,00,00,000.00","? 17,00,00,000.00",33.94%,55.22%,44.98%,24.22%
Leidos,LDOS,"? 26,20,00,000.00","? 20,50,00,000.00","? 15,90,00,000.00","? 46,70,00,000.00","? 30,80,00,000.00","? 30,80,00,000.00","? 4,50,00,000.00","? 5,70,00,000.00","? 3,31,50,00,000.00","? 3,00,70,00,000.00","? 2,84,80,00,000.00","? 20,50,00,000.00",43.90%,65.95%,34.05%,21.76%
Leidos,LDOS,"? 24,50,00,000.00","? 19,70,00,000.00","? 18,70,00,000.00","? 49,10,00,000.00","? 30,20,00,000.00","? 30,20,00,000.00","? 4,90,00,000.00","? 4,80,00,000.00","? 3,25,20,00,000.00","? 2,95,00,00,000.00","? 2,76,10,00,000.00","? 19,70,00,000.00",40.12%,61.51%,38.09%,19.59%
Leidos,LDOS,"? 21,40,00,000.00","? 16,30,00,000.00","? 20,00,00,000.00","? 46,80,00,000.00","? 26,60,00,000.00","? 26,60,00,000.00","? 4,40,00,000.00","? 5,10,00,000.00","? 3,24,20,00,000.00","? 2,97,60,00,000.00","? 2,77,40,00,000.00","? 16,30,00,000.00",34.83%,56.84%,42.74%,23.83%
Lennar,LEN,"? 1,09,68,85,000.00","? 83,13,63,000.00","? 54,58,81,000.00","? 1,70,38,04,000.00","? 1,03,59,91,000.00","? 1,03,59,91,000.00",,"? 26,01,13,000.00","? 6,43,02,45,000.00","? 5,39,42,54,000.00","? 4,72,64,41,000.00","? 83,67,72,000.00",48.79%,60.80%,32.04%,24.21%
Lennar,LEN,"? 1,32,70,14,000.00","? 1,00,13,69,000.00","? 52,07,67,000.00","? 1,38,42,55,000.00","? 87,64,63,000.00","? 87,64,63,000.00",,"? 31,01,05,000.00","? 5,32,54,68,000.00","? 4,44,90,05,000.00","? 3,94,12,13,000.00","? 1,01,69,09,000.00",72.34%,63.32%,37.62%,24.54%
Lennar,LEN,"? 1,16,46,46,000.00","? 88,27,60,000.00","? 57,05,22,000.00","? 1,71,73,61,000.00","? 1,15,68,99,000.00","? 1,15,68,99,000.00","? 2,24,01,000.00","? 27,37,37,000.00","? 6,82,58,90,000.00","? 5,66,89,91,000.00","? 5,10,85,29,000.00","? 89,09,09,000.00",51.40%,67.36%,33.22%,24.20%
Lennar,LEN,"? 85,90,13,000.00","? 66,64,18,000.00","? 52,86,10,000.00","? 1,41,02,08,000.00","? 86,91,65,000.00","? 86,91,65,000.00","? 2,24,01,000.00","? 18,96,90,000.00","? 5,87,02,54,000.00","? 5,00,10,89,000.00","? 4,46,00,46,000.00","? 66,93,23,000.00",47.26%,61.63%,37.48%,22.42%
Lincoln National,LNC,"? 77,20,00,000.00","? 64,20,00,000.00",,"? 85,80,00,000.00","? 85,80,00,000.00","? 85,80,00,000.00","? 6,50,00,000.00","? 13,00,00,000.00","? 4,85,10,00,000.00","? 3,99,30,00,000.00","? 3,99,30,00,000.00","? 64,20,00,000.00",74.83%,100.00%,0.00%,16.84%
Lincoln National,LNC,"? 26,20,00,000.00","? 22,50,00,000.00",,"? 34,00,00,000.00","? 34,00,00,000.00","? 34,00,00,000.00","? 6,50,00,000.00","? 3,70,00,000.00","? 4,53,40,00,000.00","? 4,19,40,00,000.00","? 4,19,40,00,000.00","? 22,50,00,000.00",66.18%,100.00%,0.00%,14.12%
Lincoln National,LNC,"? 8,90,00,000.00","? 14,30,00,000.00","? 2,56,50,00,000.00","? 3,21,50,00,000.00","? 19,80,00,000.00","? 19,80,00,000.00","? 6,60,00,000.00","? 5,40,00,000.00","? 4,13,60,00,000.00","? 3,93,80,00,000.00","? 92,10,00,000.00","? 14,30,00,000.00",4.45%,6.16%,79.78%,-60.67%
Lincoln National,LNC,"? 46,00,00,000.00","? 39,80,00,000.00","? 2,56,50,00,000.00","? 54,60,00,000.00","? 54,60,00,000.00","? 54,60,00,000.00","? 6,60,00,000.00","? 6,20,00,000.00","? 5,36,10,00,000.00","? 4,81,50,00,000.00","? 4,81,50,00,000.00","? 39,80,00,000.00",72.89%,100.00%,469.78%,13.48%
Linde,LIN,"? 1,21,00,00,000.00","? 84,10,00,000.00","? 77,30,00,000.00","? 3,39,00,00,000.00","? 1,39,20,00,000.00","? 1,39,20,00,000.00","? 1,80,00,000.00","? 33,40,00,000.00","? 7,58,40,00,000.00","? 6,19,20,00,000.00","? 4,19,40,00,000.00","? 87,60,00,000.00",24.81%,41.06%,22.80%,30.50%
Linde,LIN,"? 1,28,50,00,000.00","? 98,00,00,000.00","? 73,80,00,000.00","? 3,18,90,00,000.00","? 1,25,00,00,000.00","? 1,25,00,00,000.00","? 1,80,00,000.00","? 26,80,00,000.00","? 7,24,30,00,000.00","? 5,99,30,00,000.00","? 4,05,40,00,000.00","? 1,01,70,00,000.00",30.73%,39.20%,23.14%,23.74%
Linde,LIN,"? 1,05,60,00,000.00","? 77,00,00,000.00","? 75,60,00,000.00","? 3,18,60,00,000.00","? 1,20,60,00,000.00","? 1,20,60,00,000.00","? 15,60,00,000.00","? 25,30,00,000.00","? 7,27,20,00,000.00","? 6,06,60,00,000.00","? 4,08,60,00,000.00","? 80,30,00,000.00",24.17%,37.85%,23.73%,27.08%
